House Vote #273 2019-06-12T23:40:00 - H.Amdt. 289 (Foster) to H.R. 2740: To increase the Biomedical Advanced Research and Development Authority account by $1,000,000 to support increased R&D for biosecurity.
person,state,district,vote,name,party
400004,AL,4,Aye,"Rep. Robert Aderholt [R, 1997-2024]",Republican
400029,UT,1,No,"Rep. Rob Bishop [R, 2003-2020]",Republican
400030,GA,2,Aye,"Rep. Sanford Bishop [D, 1993-2024]",Democrat
400033,OR,3,Aye,"Rep. Earl Blumenauer [D, 1996-2024]",Democrat
400046,TX,8,No,"Rep. Kevin Brady [R, 1997-2022]",Republican
400052,TX,26,No,"Rep. Michael Burgess [R, 2003-2024]",Republican
400057,CA,42,Aye,"Rep. Ken Calvert [R, 2013-2022]",Republican
400068,TX,31,No,"Rep. John R. Carter [R, 2003-2024]",Republican
400069,HI,1,Aye,"Rep. Ed Case [D, 2019-2024]",Democrat
400071,OH,1,No,"Rep. Steve Chabot [R, 2011-2022]",Republican
400074,MO,1,Aye,"Rep. Lacy Clay [D, 2001-2020]",Democrat
400075,SC,6,Aye,"Rep. James “Jim” Clyburn [D, 1993-2024]",Democrat
400077,OK,4,Aye,"Rep. Tom Cole [R, 2003-2024]",Republican
400081,TN,5,Aye,"Rep. Jim Cooper [D, 2003-2022]",Democrat
400090,MD,7,Aye,"Rep. Elijah Cummings [D, 1996-2019]",Democrat
400093,IL,7,Aye,"Rep. Danny Davis [D, 1997-2024]",Democrat
400097,CA,53,Aye,"Rep. Susan Davis [D, 2003-2020]",Democrat
400100,OR,4,Aye,"Rep. Peter DeFazio [D, 1987-2022]",Democrat
400101,CO,1,Aye,"Rep. Diana DeGette [D, 1997-2024]",Democrat
400103,CT,3,Aye,"Rep. Rosa DeLauro [D, 1991-2024]",Democrat
400108,FL,25,Aye,"Rep. Mario Diaz-Balart [R, 2013-2022]",Republican
400111,TX,35,Aye,"Rep. Lloyd Doggett [D, 2013-2022]",Democrat
400114,PA,18,Aye,"Rep. Michael Doyle [D, 2019-2022]",Democrat
400122,NY,16,Aye,"Rep. Eliot Engel [D, 2013-2020]",Democrat
400124,CA,18,Aye,"Rep. Anna Eshoo [D, 2013-2022]",Democrat
400157,TX,12,Aye,"Rep. Kay Granger [R, 1997-2024]",Republican
400158,MO,6,No,"Rep. Sam Graves [R, 2001-2024]",Republican
400162,AZ,3,Aye,"Rep. Raúl Grijalva [D, 2013-2022]",Democrat
