House Vote #601 2019-10-30T17:54:00 - On Motion to Recommit with Instructions: H.R. 1373: Grand Canyon Centennial Protection Act
person,state,district,vote,name,party
400004,AL,4,Aye,"Rep. Robert Aderholt [R, 1997-2024]",Republican
400029,UT,1,Aye,"Rep. Rob Bishop [R, 2003-2020]",Republican
400030,GA,2,No,"Rep. Sanford Bishop [D, 1993-2024]",Democrat
400033,OR,3,No,"Rep. Earl Blumenauer [D, 1996-2024]",Democrat
400046,TX,8,Aye,"Rep. Kevin Brady [R, 1997-2022]",Republican
400052,TX,26,Aye,"Rep. Michael Burgess [R, 2003-2024]",Republican
400057,CA,42,Aye,"Rep. Ken Calvert [R, 2013-2022]",Republican
400068,TX,31,Aye,"Rep. John R. Carter [R, 2003-2024]",Republican
400069,HI,1,No,"Rep. Ed Case [D, 2019-2024]",Democrat
400071,OH,1,Aye,"Rep. Steve Chabot [R, 2011-2022]",Republican
400074,MO,1,No,"Rep. Lacy Clay [D, 2001-2020]",Democrat
400075,SC,6,No,"Rep. James “Jim” Clyburn [D, 1993-2024]",Democrat
400077,OK,4,Aye,"Rep. Tom Cole [R, 2003-2024]",Republican
400081,TN,5,No,"Rep. Jim Cooper [D, 2003-2022]",Democrat
400093,IL,7,No,"Rep. Danny Davis [D, 1997-2024]",Democrat
400097,CA,53,No,"Rep. Susan Davis [D, 2003-2020]",Democrat
400100,OR,4,No,"Rep. Peter DeFazio [D, 1987-2022]",Democrat
400101,CO,1,No,"Rep. Diana DeGette [D, 1997-2024]",Democrat
400103,CT,3,No,"Rep. Rosa DeLauro [D, 1991-2024]",Democrat
400108,FL,25,Aye,"Rep. Mario Diaz-Balart [R, 2013-2022]",Republican
400111,TX,35,No,"Rep. Lloyd Doggett [D, 2013-2022]",Democrat
400114,PA,18,No,"Rep. Michael Doyle [D, 2019-2022]",Democrat
400122,NY,16,No,"Rep. Eliot Engel [D, 2013-2020]",Democrat
400124,CA,18,No,"Rep. Anna Eshoo [D, 2013-2022]",Democrat
400157,TX,12,Aye,"Rep. Kay Granger [R, 1997-2024]",Republican
400158,MO,6,Aye,"Rep. Sam Graves [R, 2001-2024]",Republican
400162,AZ,3,No,"Rep. Raúl Grijalva [D, 2013-2022]",Democrat
400170,FL,20,No,"Rep. Alcee Hastings [D, 2013-2021]",Democrat
400189,MD,5,No,"Rep. Steny Hoyer [D, 1981-2024]",Democrat
400199,TX,18,No,"Rep. Sheila Jackson Lee [D, 1995-2024]",Democrat
400204,TX,30,No,"Rep. Eddie Bernice Johnson [D, 1993-2022]",Democrat
400211,OH,9,No,"Rep. Marcy Kaptur [D, 1983-2024]",Democrat
400218,WI,3,No,"Rep. Ron Kind [D, 1997-2022]",Democrat
