House Vote #1 2020-01-07T18:55:00 - Call of the House
person,state,district,vote,name,party
400004,AL,4,Present,"Rep. Robert Aderholt [R, 1997-2024]",Republican
400029,UT,1,Present,"Rep. Rob Bishop [R, 2003-2020]",Republican
400030,GA,2,Present,"Rep. Sanford Bishop [D, 1993-2024]",Democrat
400033,OR,3,Present,"Rep. Earl Blumenauer [D, 1996-2024]",Democrat
400046,TX,8,Present,"Rep. Kevin Brady [R, 1997-2022]",Republican
400052,TX,26,Present,"Rep. Michael Burgess [R, 2003-2024]",Republican
400057,CA,42,Present,"Rep. Ken Calvert [R, 2013-2022]",Republican
400068,TX,31,Present,"Rep. John R. Carter [R, 2003-2024]",Republican
400069,HI,1,Present,"Rep. Ed Case [D, 2019-2024]",Democrat
400071,OH,1,Present,"Rep. Steve Chabot [R, 2011-2022]",Republican
400074,MO,1,Present,"Rep. Lacy Clay [D, 2001-2020]",Democrat
400075,SC,6,Present,"Rep. James “Jim” Clyburn [D, 1993-2024]",Democrat
400077,OK,4,Present,"Rep. Tom Cole [R, 2003-2024]",Republican
400081,TN,5,Present,"Rep. Jim Cooper [D, 2003-2022]",Democrat
400093,IL,7,Present,"Rep. Danny Davis [D, 1997-2024]",Democrat
400097,CA,53,Present,"Rep. Susan Davis [D, 2003-2020]",Democrat
400100,OR,4,Present,"Rep. Peter DeFazio [D, 1987-2022]",Democrat
400101,CO,1,Not Voting,"Rep. Diana DeGette [D, 1997-2024]",Democrat
400103,CT,3,Present,"Rep. Rosa DeLauro [D, 1991-2024]",Democrat
400108,FL,25,Present,"Rep. Mario Diaz-Balart [R, 2013-2022]",Republican
400111,TX,35,Present,"Rep. Lloyd Doggett [D, 2013-2022]",Democrat
400114,PA,18,Present,"Rep. Michael Doyle [D, 2019-2022]",Democrat
400122,NY,16,Present,"Rep. Eliot Engel [D, 2013-2020]",Democrat
400124,CA,18,Present,"Rep. Anna Eshoo [D, 2013-2022]",Democrat
400157,TX,12,Present,"Rep. Kay Granger [R, 1997-2024]",Republican
400158,MO,6,Present,"Rep. Sam Graves [R, 2001-2024]",Republican
400162,AZ,3,Not Voting,"Rep. Raúl Grijalva [D, 2013-2022]",Democrat
400170,FL,20,Present,"Rep. Alcee Hastings [D, 2013-2021]",Democrat
400189,MD,5,Present,"Rep. Steny Hoyer [D, 1981-2024]",Democrat
400199,TX,18,Present,"Rep. Sheila Jackson Lee [D, 1995-2024]",Democrat
400204,TX,30,Present,"Rep. Eddie Bernice Johnson [D, 1993-2022]",Democrat
400211,OH,9,Present,"Rep. Marcy Kaptur [D, 1983-2024]",Democrat
400218,WI,3,Not Voting,"Rep. Ron Kind [D, 1997-2022]",Democrat
400219,NY,2,Present,"Rep. Peter “Pete” King [R, 2013-2020]",Republican
400220,IA,4,Present,"Rep. Steve King [R, 2013-2020]",Republican
400230,RI,2,Present,"Rep. James “Jim” Langevin [D, 2001-2022]",Democrat
400232,WA,2,Present,"Rep. Rick Larsen [D, 2001-2024]",Democrat
400233,CT,1,Present,"Rep. John Larson [D, 1999-2024]",Democrat
400237,CA,13,Present,"Rep. Barbara Lee [D, 2013-2022]",Democrat
400240,GA,5,Not Voting,"Rep. John R. Lewis [D, 1987-2020]",Democrat
400245,CA,19,Present,"Rep. Zoe Lofgren [D, 2013-2022]",Democrat
400246,NY,17,Present,"Rep. Nita Lowey [D, 2013-2020]",Democrat
400247,OK,3,Present,"Rep. Frank Lucas [R, 2003-2024]",Republican
400249,MA,8,Present,"Rep. Stephen Lynch [D, 2013-2024]",Democrat
400251,NY,12,Present,"Rep. Carolyn Maloney [D, 2013-2022]",Democrat
400259,MN,4,Present,"Rep. Betty McCollum [D, 2001-2024]",Democrat
400263,MA,2,Present,"Rep. James “Jim” McGovern [D, 2013-2024]",Democrat
400271,NY,5,Present,"Rep. Gregory Meeks [D, 2013-2024]",Democrat
400289,NY,10,Not Voting,"Rep. Jerrold Nadler [D, 2013-2022]",Democrat
400290,CA,32,Present,"Rep. Grace Napolitano [D, 2013-2022]",Democrat
400291,MA,1,Present,"Rep. Richard Neal [D, 2013-2024]",Democrat
400297,CA,22,Present,"Rep. Devin Nunes [R, 2013-2021]",Republican
400308,NJ,6,Present,"Rep. Frank Pallone [D, 1993-2024]",Democrat
400309,NJ,9,Present,"Rep. Bill Pascrell [D, 2013-2024]",Democrat
400314,CA,12,Present,"Rep. Nancy Pelosi [D, 2013-2022]",Democrat
400316,MN,7,Present,"Rep. Collin Peterson [D, 1991-2020]",Democrat
400326,NC,4,Present,"Rep. David Price [D, 1997-2022]",Democrat
400340,KY,5,Present,"Rep. Harold “Hal” Rogers [R, 1981-2024]",Republican
400341,AL,3,Present,"Rep. Mike Rogers [R, 2003-2024]",Republican
400347,CA,40,Present,"Rep. Lucille Roybal-Allard [D, 2013-2022]",Democrat
400349,MD,2,Present,"Rep. A. Dutch Ruppersberger [D, 2003-2024]",Democrat
400350,IL,1,Present,"Rep. Bobby Rush [D, 1993-2022]",Democrat
400352,OH,13,Present,"Rep. Tim Ryan [D, 2013-2022]",Democrat
400355,CA,38,Present,"Rep. Linda Sánchez [D, 2013-2024]",Democrat
400360,IL,9,Present,"Rep. Janice “Jan” Schakowsky [D, 1999-2024]",Democrat
400361,CA,28,Present,"Rep. Adam Schiff [D, 2013-2022]",Democrat
400363,GA,13,Not Voting,"Rep. David Scott [D, 2003-2024]",Democrat
400364,VA,3,Present,"Rep. Robert “Bobby” Scott [D, 1993-2024]",Democrat
400365,WI,5,Present,"Rep. James Sensenbrenner [R, 2003-2020]",Republican
400366,NY,15,Not Voting,"Rep. José Serrano [D, 2013-2020]",Democrat
400371,CA,30,Present,"Rep. Brad Sherman [D, 2013-2022]",Democrat
400373,IL,15,Present,"Rep. John Shimkus [R, 2013-2020]",Republican
400376,ID,2,Not Voting,"Rep. Michael “Mike” Simpson [R, 1999-2024]",Republican
400379,WA,9,Present,"Rep. Adam Smith [D, 1997-2024]",Democrat
400380,NJ,4,Not Voting,"Rep. Christopher “Chris” Smith [R, 1981-2024]",Republican
400402,MS,2,Present,"Rep. Bennie Thompson [D, 1993-2024]",Democrat
400403,CA,5,Present,"Rep. Mike Thompson [D, 2013-2022]",Democrat
400404,TX,13,Present,"Rep. Mac Thornberry [R, 1995-2020]",Republican
400411,OH,10,Present,"Rep. Michael Turner [R, 2013-2024]",Republican
400414,MI,6,Present,"Rep. Fred Upton [R, 1993-2022]",Republican
400416,NY,7,Present,"Rep. Nydia Velázquez [D, 2013-2024]",Democrat
400417,IN,1,Present,"Rep. Peter Visclosky [D, 1985-2020]",Democrat
400419,OR,2,Present,"Rep. Greg Walden [R, 1999-2020]",Republican
400422,CA,43,Not Voting,"Rep. Maxine Waters [D, 2013-2024]",Democrat
400433,SC,2,Present,"Rep. Joe Wilson [R, 2001-2024]",Republican
400440,AK,0,Present,"Rep. Don Young [R, 1973-2022]",Republican
400616,NC,1,Not Voting,"Rep. George “G.K.” Butterfield [D, 2004-2022]",Democrat
400618,CA,16,Present,"Rep. Jim Costa [D, 2013-2022]",Democrat
400623,FL,23,Present,"Rep. Debbie Wasserman Schultz [D, 2013-2022]",Democrat
400630,IL,3,Not Voting,"Rep. Daniel Lipinski [D, 2005-2020]",Democrat
400639,MO,5,Present,"Rep. Emanuel Cleaver [D, 2005-2024]",Democrat
400640,NE,1,Present,"Rep. Jeff Fortenberry [R, 2005-2022]",Republican
400641,NY,26,Present,"Rep. Brian Higgins [D, 2013-2024]",Democrat
400643,NC,5,Present,"Rep. Virginia Foxx [R, 2005-2024]",Republican
400644,NC,10,Present,"Rep. Patrick McHenry [R, 2005-2024]",Republican
400651,TX,1,Present,"Rep. Louie Gohmert [R, 2005-2022]",Republican
400653,TX,9,Present,"Rep. Al Green [D, 2005-2024]",Democrat
400654,TX,10,Present,"Rep. Michael McCaul [R, 2005-2024]",Republican
400655,TX,11,Present,"Rep. Michael Conaway [R, 2005-2020]",Republican
400656,TX,24,Not Voting,"Rep. Kenny Marchant [R, 2005-2020]",Republican
400657,TX,28,Present,"Rep. Henry Cuellar [D, 2005-2024]",Democrat
400659,WA,5,Present,"Rep. Cathy Anne McMorris Rodgers [R, 2005-2024]",Republican
400661,WI,4,Present,"Rep. Gwen Moore [D, 2005-2024]",Democrat
400663,CA,6,Present,"Rep. Doris Matsui [D, 2013-2022]",Democrat
412186,NJ,8,Not Voting,"Rep. Albio Sires [D, 2013-2022]",Democrat
412189,CA,9,Present,"Rep. Jerry McNerney [D, 2013-2022]",Democrat
412190,CA,23,Present,"Rep. Kevin McCarthy [R, 2013-2022]",Republican
412191,CO,5,Present,"Rep. Doug Lamborn [R, 2007-2024]",Republican
412192,CO,7,Present,"Rep. Ed Perlmutter [D, 2007-2022]",Democrat
412193,CT,2,Present,"Rep. Joe Courtney [D, 2007-2024]",Democrat
412195,FL,14,Present,"Rep. Kathy Castor [D, 2013-2024]",Democrat
412196,FL,16,Not Voting,"Rep. Vern Buchanan [R, 2013-2024]",Republican
412199,GA,4,Present,"Rep. Henry C. “Hank” Johnson [D, 2007-2024]",Democrat
