House Vote #1 2023-01-03T12:28:00 - Call By States
person,state,district,vote,name,party
400004,AL,4,Present,Rep. Robert Aderholt [R],Republican
400030,GA,2,Present,Rep. Sanford Bishop [D],Democrat
400033,OR,3,Present,Rep. Earl Blumenauer [D],Democrat
400052,TX,26,Present,Rep. Michael Burgess [R],Republican
400057,CA,41,Present,Rep. Ken Calvert [R],Republican
400068,TX,31,Present,Rep. John R. Carter [R],Republican
400069,HI,1,Present,Rep. Ed Case [D],Democrat
400075,SC,6,Present,Rep. James “Jim” Clyburn [D],Democrat
400077,OK,4,Present,Rep. Tom Cole [R],Republican
400093,IL,7,Present,Rep. Danny Davis [D],Democrat
400101,CO,1,Present,Rep. Diana DeGette [D],Democrat
400103,CT,3,Present,Rep. Rosa DeLauro [D],Democrat
400108,FL,26,Present,Rep. Mario Diaz-Balart [R],Republican
400111,TX,37,Present,Rep. Lloyd Doggett [D],Democrat
400124,CA,16,Present,Rep. Anna Eshoo [D],Democrat
400157,TX,12,Present,Rep. Kay Granger [R],Republican
400158,MO,6,Present,Rep. Sam Graves [R],Republican
400162,AZ,7,Present,Rep. Raúl Grijalva [D],Democrat
400189,MD,5,Present,Rep. Steny Hoyer [D],Democrat
400196,CA,48,Present,Rep. Darrell Issa [R],Republican
400199,TX,18,Present,"Rep. Sheila Jackson Lee [D, 1995-2024]",Democrat
400211,OH,9,Present,Rep. Marcy Kaptur [D],Democrat
400232,WA,2,Present,Rep. Rick Larsen [D],Democrat
400233,CT,1,Present,Rep. John Larson [D],Democrat
400237,CA,12,Present,Rep. Barbara Lee [D],Democrat
400245,CA,18,Present,Rep. Zoe Lofgren [D],Democrat
400247,OK,3,Present,Rep. Frank Lucas [R],Republican
400249,MA,8,Present,Rep. Stephen Lynch [D],Democrat
400259,MN,4,Present,Rep. Betty McCollum [D],Democrat
400263,MA,2,Present,Rep. James “Jim” McGovern [D],Democrat
400271,NY,5,Present,Rep. Gregory Meeks [D],Democrat
400289,NY,12,Present,Rep. Jerrold Nadler [D],Democrat
400290,CA,31,Present,Rep. Grace Napolitano [D],Democrat
400291,MA,1,Present,Rep. Richard Neal [D],Democrat
400308,NJ,6,Present,Rep. Frank Pallone [D],Democrat
400309,NJ,9,Present,"Rep. Bill Pascrell [D, 2013-2024]",Democrat
400314,CA,11,Present,Rep. Nancy Pelosi [D],Democrat
400340,KY,5,Present,Rep. Harold “Hal” Rogers [R],Republican
400341,AL,3,Present,Rep. Mike Rogers [R],Republican
400349,MD,2,Present,Rep. A. Dutch Ruppersberger [D],Democrat
400355,CA,38,Present,Rep. Linda Sánchez [D],Democrat
400360,IL,9,Present,Rep. Janice “Jan” Schakowsky [D],Democrat
400361,CA,30,Present,Rep. Adam Schiff [D],Democrat
400363,GA,13,Present,Rep. David Scott [D],Democrat
400364,VA,3,Present,Rep. Robert “Bobby” Scott [D],Democrat
400367,TX,17,Present,Rep. Pete Sessions [R],Republican
400371,CA,32,Present,Rep. Brad Sherman [D],Democrat
400376,ID,2,Present,Rep. Michael “Mike” Simpson [R],Republican
400379,WA,9,Present,Rep. Adam Smith [D],Democrat
400380,NJ,4,Present,Rep. Christopher “Chris” Smith [R],Republican
400402,MS,2,Present,Rep. Bennie Thompson [D],Democrat
400403,CA,4,Present,Rep. Mike Thompson [D],Democrat
400411,OH,10,Present,Rep. Michael Turner [R],Republican
400416,NY,7,Present,Rep. Nydia Velázquez [D],Democrat
400422,CA,43,Present,Rep. Maxine Waters [D],Democrat
400433,SC,2,Present,Rep. Joe Wilson [R],Republican
400618,CA,21,Present,Rep. Jim Costa [D],Democrat
400623,FL,25,Present,Rep. Debbie Wasserman Schultz [D],Democrat
400639,MO,5,Present,Rep. Emanuel Cleaver [D],Democrat
400641,NY,26,Present,"Rep. Brian Higgins [D, 2013-2024]",Democrat
400643,NC,5,Present,Rep. Virginia Foxx [R],Republican
400644,NC,10,Present,Rep. Patrick McHenry [R],Republican
400653,TX,9,Present,Rep. Al Green [D],Democrat
400654,TX,10,Present,Rep. Michael McCaul [R],Republican
400657,TX,28,Present,Rep. Henry Cuellar [D],Democrat
400659,WA,5,Present,Rep. Cathy Anne McMorris Rodgers [R],Republican
400661,WI,4,Present,Rep. Gwen Moore [D],Democrat
400663,CA,7,Present,Rep. Doris Matsui [D],Democrat
407672,MD,7,Present,Rep. Kweisi Mfume [D],Democrat
412190,CA,20,Present,"Rep. Kevin McCarthy [R, 2023-2023]",Republican
412191,CO,5,Present,Rep. Doug Lamborn [R],Republican
412193,CT,2,Present,Rep. Joe Courtney [D],Democrat
412195,FL,14,Present,Rep. Kathy Castor [D],Democrat
412196,FL,16,Present,Rep. Vern Buchanan [R],Republican
412199,GA,4,Present,Rep. Henry C. “Hank” Johnson [D],Democrat
412212,MD,3,Present,Rep. John Sarbanes [D],Democrat
412213,MI,5,Present,Rep. Tim Walberg [R],Republican
412217,NE,3,Present,Rep. Adrian Smith [R],Republican
412221,NY,9,Present,Rep. Yvette Clarke [D],Democrat
412226,OH,4,Present,Rep. Jim Jordan [R],Republican
412236,TN,9,Present,Rep. Steve Cohen [D],Democrat
412250,FL,12,Present,Rep. Gus Bilirakis [R],Republican
412255,VA,1,Present,Rep. Robert Wittman [R],Republican
412256,OH,5,Present,Rep. Robert Latta [R],Republican
412257,IL,11,Present,Rep. Bill Foster [D],Democrat
412258,IN,7,Present,Rep. André Carson [D],Democrat
412261,LA,1,Present,Rep. Steve Scalise [R],Republican
412272,VA,11,Present,Rep. Gerald Connolly [D],Democrat
412278,KY,2,Present,Rep. Brett Guthrie [R],Republican
412282,CT,4,Present,Rep. James “Jim” Himes [D],Democrat
412292,MO,3,Present,Rep. Blaine Luetkemeyer [R],Republican
412295,CA,5,Present,Rep. Tom McClintock [R],Republican
412307,ME,1,Present,Rep. Chellie Pingree [D],Democrat
412309,FL,8,Present,Rep. Bill Posey [R],Republican
412317,PA,15,Present,Rep. Glenn Thompson [R],Republican
412318,NV,1,Present,Rep. Dina Titus [D],Democrat
412319,NY,20,Present,Rep. Paul Tonko [D],Democrat
412331,IL,5,Present,Rep. Mike Quigley [D],Democrat
412379,CA,28,Present,Rep. Judy Chu [D],Democrat
412382,CA,8,Present,Rep. John Garamendi [D],Democrat
412396,AL,7,Present,Rep. Terri Sewell [D],Democrat
412397,AZ,9,Present,Rep. Paul Gosar [R],Republican
412399,AZ,1,Present,Rep. David Schweikert [R],Republican
412400,AR,1,Present,Rep. Eric “Rick” Crawford [R],Republican
412402,AR,3,Present,Rep. Steve Womack [R],Republican
412410,FL,11,Present,Rep. Daniel Webster [R],Republican
412412,FL,24,Present,Rep. Frederica Wilson [D],Democrat
412417,GA,8,Present,Rep. Austin Scott [R],Republican
412427,IN,8,Present,Rep. Larry Bucshon [R],Republican
412434,MD,1,Present,Rep. Andy Harris [R],Republican
412435,MA,9,Present,Rep. William R. Keating [D],Democrat
412437,MI,4,Present,Rep. Bill Huizenga [R],Republican
412460,OH,6,Present,"Rep. Bill Johnson [R, 2011-2024]",Republican
412465,PA,16,Present,Rep. Mike Kelly [R],Republican
412470,RI,1,Present,"Rep. David Cicilline [D, 2011-2023]",Democrat
412472,SC,3,Present,Rep. Jeff Duncan [R],Republican
412476,TN,3,Present,Rep. Charles “Chuck” Fleischmann [R],Republican
412477,TN,4,Present,Rep. Scott DesJarlais [R],Republican
412485,VA,9,Present,Rep. Morgan Griffith [R],Republican
412500,NV,2,Present,Rep. Mark Amodei [R],Republican
412501,OR,1,Present,Rep. Suzanne Bonamici [D],Democrat
412503,KY,4,Present,Rep. Thomas Massie [R],Republican
412505,WA,1,Present,Rep. Suzan DelBene [D],Democrat
412506,NJ,10,Present,"Rep. Donald Payne Jr. [D, 2012-2024]",Democrat
412510,CA,1,Present,Rep. Doug LaMalfa [R],Republican
412511,CA,2,Present,Rep. Jared Huffman [D],Democrat
412512,CA,6,Present,Rep. Ami Bera [D],Democrat
412514,CA,14,Present,Rep. Eric Swalwell [D],Democrat
412515,CA,22,Present,Rep. David Valadao [R],Republican
412516,CA,26,Present,Rep. Julia Brownley [D],Democrat
412517,CA,29,Present,Rep. Tony Cárdenas [D],Democrat
412519,CA,25,Present,Rep. Raul Ruiz [D],Democrat
412520,CA,39,Present,Rep. Mark Takano [D],Democrat
412522,CA,52,Present,Rep. Juan Vargas [D],Democrat
412523,CA,50,Present,Rep. Scott Peters [D],Democrat
412529,FL,22,Present,Rep. Lois Frankel [D],Democrat
412534,IL,10,Present,Rep. Bradley “Brad” Schneider [D],Democrat
412541,KY,6,Present,Rep. Garland “Andy” Barr [R],Republican
412546,MI,8,Present,Rep. Daniel Kildee [D],Democrat
412548,MO,2,Present,Rep. Ann Wagner [R],Republican
412550,NC,9,Present,Rep. Richard Hudson [R],Republican
412557,NH,2,Present,Rep. Ann Kuster [D],Democrat
412559,NV,4,Present,Rep. Steven Horsford [D],Democrat
412560,NY,6,Present,Rep. Grace Meng [D],Democrat
412561,NY,8,Present,Rep. Hakeem Jeffries [D],Democrat
412564,OH,2,Present,Rep. Brad Wenstrup [R],Republican
412565,OH,3,Present,Rep. Joyce Beatty [D],Democrat
412566,OH,14,Present,Rep. David Joyce [R],Republican
412569,PA,10,Present,Rep. Scott Perry [R],Republican
412571,PA,8,Present,Rep. Matthew “Matt” Cartwright [D],Democrat
412574,TX,14,Present,Rep. Randy Weber [R],Republican
412576,TX,20,Present,Rep. Joaquin Castro [D],Democrat
412578,TX,25,Present,Rep. Roger Williams [R],Republican
412579,TX,33,Present,Rep. Marc Veasey [D],Democrat
412581,UT,2,Present,"Rep. Chris Stewart [R, 2013-2023]",Republican
412583,WA,6,Present,Rep. Derek Kilmer [D],Democrat
412585,WI,2,Present,Rep. Mark Pocan [D],Democrat
412595,IL,2,Present,Rep. Robin Kelly [D],Democrat
412596,MO,8,Present,Rep. Jason Smith [R],Republican
412600,MA,5,Present,Rep. Katherine Clark [D],Democrat
412606,NJ,1,Present,Rep. Donald Norcross [D],Democrat
412607,NC,12,Present,Rep. Alma Adams [D],Democrat
412608,AL,6,Present,Rep. Gary Palmer [R],Republican
412609,AR,2,Present,Rep. French Hill [R],Republican
412610,AR,4,Present,Rep. Bruce Westerman [R],Republican
412612,AZ,3,Present,Rep. Ruben Gallego [D],Democrat
412613,CA,10,Present,Rep. Mark DeSaulnier [D],Democrat
412615,CA,33,Present,Rep. Pete Aguilar [D],Democrat
412616,CA,36,Present,Rep. Ted Lieu [D],Democrat
412617,CA,35,Present,Rep. Norma Torres [D],Democrat
412619,CO,4,Present,"Rep. Ken Buck [R, 2015-2024]",Republican
412622,GA,1,Present,Rep. Earl “Buddy” Carter [R],Republican
412624,GA,11,Present,Rep. Barry Loudermilk [R],Republican
412625,GA,12,Present,Rep. Rick Allen [R],Republican
412629,IL,12,Present,Rep. Mike Bost [R],Republican
412631,LA,6,Present,Rep. Garret Graves [R],Republican
412632,MA,6,Present,Rep. Seth Moulton [D],Democrat
412634,MI,2,Present,Rep. John Moolenaar [R],Republican
412637,MI,6,Present,Rep. Debbie Dingell [D],Democrat
412639,MN,6,Present,Rep. Tom Emmer [R],Republican
412640,MT,1,Present,Rep. Ryan Zinke [R],Republican
412641,NC,7,Present,Rep. David Rouzer [R],Republican
412644,NJ,12,Present,Rep. Bonnie Watson Coleman [D],Democrat
412648,NY,21,Present,Rep. Elise Stefanik [R],Republican
412652,PA,2,Present,Rep. Brendan Boyle [D],Democrat
412655,TX,36,Present,Rep. Brian Babin [R],Republican
412657,VA,8,Present,Rep. Donald Beyer [D],Democrat
412660,WA,4,Present,Rep. Dan Newhouse [R],Republican
412661,WI,6,Present,Rep. Glenn Grothman [R],Republican
412662,WV,2,Present,Rep. Alexander Mooney [R],Republican
412673,MS,1,Present,Rep. Trent Kelly [R],Republican
412674,IL,16,Present,Rep. Darin LaHood [R],Republican
412675,OH,8,Present,Rep. Warren Davidson [R],Republican
412676,KY,1,Present,Rep. James Comer [R],Republican
412677,PA,3,Present,Rep. Dwight Evans [D],Democrat
412683,AZ,5,Present,Rep. Andy Biggs [R],Republican
412684,CA,17,Present,Rep. Ro Khanna [D],Democrat
412685,CA,19,Present,Rep. Jimmy Panetta [D],Democrat
412686,CA,24,Present,Rep. Salud Carbajal [D],Democrat
412687,CA,44,Present,Rep. Nanette Barragán [D],Democrat
412688,CA,46,Present,Rep. Luis Correa [D],Democrat
