House Vote #15 2023-01-06T13:46:00 - Election of the Speaker
person,state,district,vote,name,party
400004,AL,4,McCarthy,Rep. Robert Aderholt [R],Republican
400030,GA,2,Jeffries,Rep. Sanford Bishop [D],Democrat
400033,OR,3,Jeffries,Rep. Earl Blumenauer [D],Democrat
400052,TX,26,McCarthy,Rep. Michael Burgess [R],Republican
400057,CA,41,McCarthy,Rep. Ken Calvert [R],Republican
400068,TX,31,McCarthy,Rep. John R. Carter [R],Republican
400069,HI,1,Jeffries,Rep. Ed Case [D],Democrat
400075,SC,6,Jeffries,Rep. James “Jim” Clyburn [D],Democrat
400077,OK,4,McCarthy,Rep. Tom Cole [R],Republican
400093,IL,7,Jeffries,Rep. Danny Davis [D],Democrat
400101,CO,1,Jeffries,Rep. Diana DeGette [D],Democrat
400103,CT,3,Jeffries,Rep. Rosa DeLauro [D],Democrat
400108,FL,26,McCarthy,Rep. Mario Diaz-Balart [R],Republican
400111,TX,37,Jeffries,Rep. Lloyd Doggett [D],Democrat
400124,CA,16,Jeffries,Rep. Anna Eshoo [D],Democrat
400157,TX,12,McCarthy,Rep. Kay Granger [R],Republican
400158,MO,6,McCarthy,Rep. Sam Graves [R],Republican
400162,AZ,7,Jeffries,Rep. Raúl Grijalva [D],Democrat
400189,MD,5,Jeffries,Rep. Steny Hoyer [D],Democrat
400196,CA,48,McCarthy,Rep. Darrell Issa [R],Republican
400199,TX,18,Jeffries,"Rep. Sheila Jackson Lee [D, 1995-2024]",Democrat
400211,OH,9,Jeffries,Rep. Marcy Kaptur [D],Democrat
400232,WA,2,Jeffries,Rep. Rick Larsen [D],Democrat
400233,CT,1,Jeffries,Rep. John Larson [D],Democrat
400237,CA,12,Jeffries,Rep. Barbara Lee [D],Democrat
400245,CA,18,Jeffries,Rep. Zoe Lofgren [D],Democrat
400247,OK,3,McCarthy,Rep. Frank Lucas [R],Republican
400249,MA,8,Jeffries,Rep. Stephen Lynch [D],Democrat
400259,MN,4,Jeffries,Rep. Betty McCollum [D],Democrat
400263,MA,2,Jeffries,Rep. James “Jim” McGovern [D],Democrat
400271,NY,5,Jeffries,Rep. Gregory Meeks [D],Democrat
400289,NY,12,Jeffries,Rep. Jerrold Nadler [D],Democrat
400290,CA,31,Jeffries,Rep. Grace Napolitano [D],Democrat
